c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
sea,shell,seashell,2,13.0,1.306484599,1.4327814269999999,0.2937043309211731,0.24695058166980743,0.3565444052219391,1
tortoise,shell,tortoiseshell,2,13.4,1.573218026,1.990441865,0.4069593548774719,0.19360776245594025,0.41898003220558167,1
clam,shell,clamshell,2,10.6,-0.281652701,-0.290127074,0.2664029896259308,0.3275562524795532,0.35902777314186096,1
egg,shell,eggshell,2,10.3,-0.241733977,-0.182062803,0.4715598225593567,0.4240756034851074,0.5647869110107422,1
nut,shell,nutshell,2,12.2,-0.011308278,0.246067977,0.13648271560668945,0.13636520504951477,0.17208757996559143,1
bomb,shell,bombshell,2,10.2,-0.33719670799999996,-0.36287832700000006,0.34881213307380676,0.1757843792438507,0.3607662618160248,1
egg,shells,eggshells,2,10.3,-0.241733977,-0.182062803,0.369702011346817,0.3110390901565552,0.42692142724990845,1
nut,shells,nutshells,2,12.2,-0.011308278,0.246067977,0.3313181400299072,0.3876405358314514,0.46706631779670715,1
bomb,shells,bombshells,2,10.2,-0.33719670799999996,-0.36287832700000006,0.32532647252082825,0.32077428698539734,0.3996623754501343,1
sea,shells,seashells,2,13.0,1.306484599,1.4327814269999999,0.2945941984653473,0.5026190876960754,0.5070593953132629,1
book,shelves,bookshelves,2,10.5,-0.17075538899999998,-0.19607315600000003,0.48463132977485657,0.6399618983268738,0.7257960438728333,1
wind,shield,windshield,1,11.0,-0.135056851,0.061003165,0.1389794498682022,0.12491630762815475,0.17323711514472961,1
wind,shields,windshields,1,11.0,-0.135056851,0.061003165,0.17825129628181458,0.28431206941604614,0.308540940284729,1
gear,shift,gearshift,1,12.5,0.359919785,0.43043049,0.3184520900249481,0.14344365894794464,0.30739980936050415,1
down,shift,downshift,1,12.4,0.097973356,0.118726289,0.1213676780462265,0.435564786195755,0.39393922686576843,1
make,shift,makeshift,1,13.4,1.573218026,1.990441865,0.02040080353617668,0.04484763741493225,0.04531758278608322,1
gear,shifts,gearshifts,1,12.5,0.359919785,0.43043049,0.23167841136455536,0.23904649913311005,0.3045286536216736,1
shoe,shine,shoeshine,1,13.4,1.573218026,1.990441865,0.3321460485458374,0.16636188328266144,0.32848265767097473,1
sun,shine,sunshine,1,12.4,0.097973356,0.118726289,0.6767958402633667,0.36897367238998413,0.6372314691543579,1
shoe,shines,shoeshines,1,13.4,1.573218026,1.990441865,0.2600383758544922,0.014156606048345566,0.17937436699867249,1
troop,ship,troopship,2,10.2,-0.273012797,-0.30001581899999996,0.2075633555650711,0.5072192549705505,0.4420070946216583,1
flag,ship,flagship,2,10.3,-0.241733977,-0.182062803,-0.03243832290172577,0.20369389653205872,0.10029318928718567,1
battle,ship,battleship,2,13.4,1.573218026,1.990441865,0.21245335042476654,0.5898510217666626,0.542195200920105,1
light,ship,lightship,2,12.2,-0.011308278,0.246067977,0.18402628600597382,0.46390944719314575,0.46422526240348816,1
space,ship,spaceship,2,13.4,1.573218026,1.990441865,0.40868452191352844,0.41991257667541504,0.5531026124954224,1
war,ship,warship,2,12.5,0.359919785,0.43043049,0.2807788550853729,0.6929907202720642,0.6481702923774719,1
star,ship,starship,2,12.5,0.359919785,0.43043049,0.11980421841144562,0.41281914710998535,0.38178685307502747,1
steam,ship,steamship,2,10.6,-0.281652701,-0.290127074,0.22090308368206024,0.5711982250213623,0.5153793692588806,1
air,ship,airship,2,12.5,0.359919785,0.43043049,0.29597634077072144,0.3915760815143585,0.4488072097301483,1
air,ships,airships,2,12.5,0.359919785,0.43043049,0.23220294713974,0.334477961063385,0.3706713616847992,1
battle,ships,battleships,2,13.4,1.573218026,1.990441865,0.16478082537651062,0.6320525407791138,0.5607739090919495,1
flag,ships,flagships,2,10.3,-0.241733977,-0.182062803,0.06051584333181381,0.3551977872848511,0.27321192622184753,1
light,ships,lightships,2,12.2,-0.011308278,0.246067977,0.09310901910066605,0.4282257556915283,0.39225369691848755,1
troop,ships,troopships,2,10.2,-0.273012797,-0.30001581899999996,0.18878121674060822,0.5276201963424683,0.44447359442710876,1
war,ships,warships,2,12.5,0.359919785,0.43043049,0.2736290693283081,0.7651525139808655,0.6934586763381958,1
space,ships,spaceships,2,13.4,1.573218026,1.990441865,0.356998473405838,0.3663363456726074,0.47494667768478394,1
steam,ships,steamships,2,10.6,-0.281652701,-0.290127074,0.26589444279670715,0.5161144137382507,0.5207881331443787,1
