c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
rein,deer,reindeer,1,13.3,1.991648607,3.420478362,0.05082990601658821,0.40904700756073,0.3357820212841034,0
honey,dew,honeydew,1,7.77,-0.37107827,-0.38306233100000003,0.44624659419059753,0.33791857957839966,0.49575862288475037,0
shin,dig,shindig,1,13.3,1.991648607,3.420478362,0.05221990868449211,0.15348587930202484,0.12943576276302338,0
shin,digs,shindigs,1,13.3,1.991648607,3.420478362,0.05400198698043823,0.13785108923912048,0.13103727996349335,0
bur,dock,burdock,1,11.6,-0.004845566,-0.023301942000000003,0.28753525018692017,0.09250465780496597,0.2631995677947998,0
spatter,dock,spatterdock,1,11.6,-0.004845566,-0.023301942000000003,0.2881537079811096,0.26022765040397644,0.3794872462749481,0
under,dog,underdog,1,11.6,-0.004845566,-0.023301942000000003,0.07384698837995529,0.1585206687450409,0.16759085655212402,0
bull,dog,bulldog,1,11.9,0.457324861,0.29185535100000004,0.2688336670398712,0.6063050031661987,0.5313060283660889,0
hot,dog,hotdog,1,7.32,-0.376884117,-0.398926623,0.3242305517196655,0.38931652903556824,0.46178141236305237,0
sun,dog,sundog,1,13.3,1.991648607,3.420478362,0.4176639914512634,0.08797548711299896,0.347683846950531,0
hot,dogs,hotdogs,1,7.32,-0.376884117,-0.398926623,0.3224789500236511,0.4108240306377411,0.471967488527298,0
turtle,dove,turtledove,1,13.3,1.291871101,1.6256011780000001,0.3602083623409271,0.354397714138031,0.4316115081310272,0
turtle,doves,turtledoves,1,13.3,1.291871101,1.6256011780000001,0.30309730768203735,0.49627232551574707,0.5016096830368042,0
crack,down,crackdown,1,6.64,-0.377477415,-0.40043989,0.40756404399871826,0.07673391699790955,0.3430067300796509,0
spell,down,spelldown,1,11.9,0.457324861,0.29185535100000004,0.1277327984571457,0.05347893759608269,0.13273219764232635,0
show,down,showdown,1,7.88,-0.369095313,-0.39601803399999996,0.16720424592494965,0.08970270305871964,0.1718451827764511,0
eider,down,eiderdown,1,11.6,-0.004845566,-0.023301942000000003,0.3647240996360779,0.029420876875519753,0.2899690568447113,0
sun,downer,sundowner,1,13.3,1.991648607,3.420478362,0.3748089075088501,0.05349445343017578,0.3058871030807495,0
crack,downs,crackdowns,1,6.64,-0.377477415,-0.40043989,0.35273313522338867,0.08911535143852234,0.2780379354953766,0
rub,downs,rubdowns,1,6.5,-0.37626433200000003,-0.400945344,0.28730231523513794,0.1292283982038498,0.26829513907432556,0
run,downs,rundowns,1,13.3,1.991648607,3.420478362,0.16330701112747192,0.14135971665382385,0.18783700466156006,0
touch,downs,touchdowns,1,7.84,-0.367085868,-0.311593835,0.020159831270575523,0.4333241879940033,0.32992491126060486,0
bull,dozer,bulldozer,1,11.9,0.457324861,0.29185535100000004,0.19406460225582123,0.5696858167648315,0.5088757276535034,0
down,draft,downdraft,1,13.3,1.991648607,3.420478362,0.17164073884487152,-0.012271177023649216,0.08686665445566177,0
snap,dragon,snapdragon,1,5.81,-0.37727082,-0.387650115,0.15137484669685364,0.18472079932689667,0.23400239646434784,0
snap,dragons,snapdragons,1,5.81,-0.37727082,-0.387650115,0.13746890425682068,0.16897714138031006,0.21348737180233002,0
man,drakes,mandrakes,1,13.3,1.991648607,3.420478362,0.08859438449144363,0.13269680738449097,0.15569841861724854,0
spin,drift,spindrift,1,13.3,1.991648607,3.420478362,0.16082681715488434,0.3714897632598877,0.32849857211112976,0
man,drill,mandrill,1,13.3,1.991648607,3.420478362,0.18618851900100708,0.13711942732334137,0.2142583280801773,0
over,drive,overdrive,1,11.6,-0.004845566,-0.023301942000000003,0.16612021625041962,0.1933499574661255,0.23999345302581787,0
air,drome,airdrome,1,11.6,-0.004845566,-0.023301942000000003,0.19442696869373322,0.32620498538017273,0.32969000935554504,0
back,drop,backdrop,1,6.64,-0.377477415,-0.40043989,0.06641855835914612,0.03393914923071861,0.06243104860186577,0
gum,drop,gumdrop,1,5.65,-0.378127217,-0.401466599,0.4051087498664856,0.13698244094848633,0.3835577964782715,0
air,drop,airdrop,1,11.6,-0.004845566,-0.023301942000000003,0.22573889791965485,0.1450621336698532,0.24935382604599,0
eaves,dropper,eavesdropper,2,9.1,-0.369595025,-0.392915348,0.15942969918251038,0.2445136457681656,0.2694237530231476,0
eaves,droppers,eavesdroppers,1,9.1,-0.369595025,-0.392915348,0.11680503934621811,0.17235420644283295,0.18758730590343475,0
kettle,drum,kettledrum,1,13.3,1.291871101,1.6256011780000001,0.1632487028837204,0.4106155037879944,0.34260690212249756,0
kettle,drums,kettledrums,1,13.3,1.291871101,1.6256011780000001,0.2821466624736786,0.4945218861103058,0.4893675148487091,0
via,ducts,viaducts,1,12.1,0.438577699,0.565275422,0.092264823615551,0.24041050672531128,0.2365095615386963,0
wheat,ear,wheatear,1,13.3,1.497992765,1.617405485,0.18286074697971344,0.12504397332668304,0.2123124599456787,0
book,end,bookend,1,11.9,0.8307866209999999,0.924836447,0.12676075100898743,0.32504206895828247,0.2986072599887848,0
wall,eye,walleye,1,12.9,1.497558386,1.6055008819999999,-0.044141486287117004,0.13137997686862946,0.06114359200000763,0
buck,eye,buckeye,1,11.9,0.8307866209999999,0.924836447,0.16610267758369446,0.09151335060596466,0.16941459476947784,0
buck,eyes,buckeyes,1,11.9,0.8307866209999999,0.924836447,0.2071359008550644,0.12776294350624084,0.22500517964363098,0
type,face,typeface,1,11.2,-0.157918254,-0.157177191,0.08262255042791367,0.04139756038784981,0.08235978335142136,0
type,faces,typefaces,1,11.2,-0.157918254,-0.157177191,0.09614557027816772,0.0574275404214859,0.10085869580507278,0
wind,fall,windfall,1,7.46,-0.372870525,-0.39754344,0.10737273097038269,0.1967506855726242,0.1977517455816269,0
prat,fall,pratfall,1,8.08,-0.369222448,-0.39004305899999997,0.2786537706851959,0.2672087848186493,0.37531158328056335,0
short,falls,shortfalls,1,8.08,-0.369222448,-0.39004305899999997,0.18181435763835907,0.1637018322944641,0.21603277325630188,0
prat,falls,pratfalls,1,8.08,-0.369222448,-0.39004305899999997,0.258319616317749,0.23003429174423218,0.3281349241733551,0
foot,falls,footfalls,1,8.08,-0.369222448,-0.39004305899999997,0.08781081438064575,0.12318161875009537,0.14522169530391693,0
