c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
knot,hole,knothole,1,14.2,8.036027096,7.83944487,0
loop,hole,loophole,1,10.4,-0.268312321,-0.275385567,0
man,hole,manhole,1,9.07,-0.368878123,-0.395849129,0
pot,hole,pothole,1,14.2,8.036027096,7.83944487,0
coal,hole,coalhole,1,7.18,-0.377320261,-0.401336972,0
chuck,hole,chuckhole,1,7.68,-0.375969449,-0.401314414,0
chuck,holes,chuckholes,1,7.68,-0.375969449,-0.401314414,0
bung,holes,bungholes,1,11.7,0.641415035,0.585360488,0
pigeon,holing,pigeonholing,1,9.07,-0.368878123,-0.395849129,0
monks,hood,monkshood,1,12,0.657359922,0.614352135,0
sky,hook,skyhook,1,6.24,-0.376221953,-0.400781821,0
bill,hook,billhook,1,7.18,-0.377320261,-0.401336972,0
tenter,hook,tenterhook,1,8.83,-0.354324661,-0.393256935,0
rave,hook,ravehook,1,9.36,-0.331962971,-0.36590303,0
button,hook,buttonhook,1,9.07,-0.368878123,-0.395849129,0
bill,hooks,billhooks,1,7.18,-0.377320261,-0.401336972,0
tenter,hooks,tenterhooks,1,8.83,-0.354324661,-0.393256935,0
car,hop,carhop,1,8.83,-0.354324661,-0.393256935,0
bell,hop,bellhop,1,7.18,-0.377320261,-0.401336972,0
plant,hopper,planthopper,1,14.2,8.036027096,7.83944487,0
clod,hopper,clodhopper,1,7.55,-0.374092437,-0.398919179,0
clod,hoppers,clodhoppers,1,7.55,-0.374092437,-0.398919179,0
car,hops,carhops,1,8.83,-0.354324661,-0.393256935,0
bell,hops,bellhops,1,7.18,-0.377320261,-0.401336972,0
prong,horn,pronghorn,1,11.7,0.641415035,0.585360488,0
sax,horn,saxhorn,1,7.76,-0.37460451,-0.394066416,0
green,horn,greenhorn,1,9.07,-0.368878123,-0.395849129,0
stock,horn,stockhorn,1,7.68,-0.375969449,-0.401314414,0
stink,horn,stinkhorn,1,7.68,-0.375969449,-0.401314414,0
